"","region","exam_name","exam_type","language","file_url","parent"
"128",NA,"Electrology","Theory","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Electrology-Theory_VIE_CIB_Eff.-6.1.2018-v.3.1.20.f-1.pdf","Electrology"
"129",NA,"Electrology","Practical","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Electrology_Practical_CIB_KOR_Eff.-6.1.2018-v3.1.20.f-2.pdf","Electrology"
"130",NA,"Electrology","Practical","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Electrology_Practical_CIB_SPN_Eff.-6.1.2018-v3.1.20.f-2.pdf","Electrology"
"131",NA,"Electrology","Practical","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Electrology_Practical_CIB_VIET_Eff.-6.1.2018-v3.1.20.f-2.pdf","Electrology"
"132",NA,"Esthetics","Theory","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Theory_CIB_KOR_Eff.-1.1.2020-v.2.26.20.f-2.pdf","Esthetics"
"133",NA,"Esthetics","Theory","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Theory_CIB_SPN_Eff.-1.1.2020-v.2.26.20.f-2.pdf","Esthetics"
"134",NA,"Esthetics","Theory","Vietnamese","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Theory_CIB_VIET_Eff.-1.1.2020-v.2.26.20.f-2.pdf","Esthetics"
"135",NA,"Esthetics","Practical","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_KOR-Eff.-1.1.2020-v.8.11.20.f.pdf","Esthetics"
"136",NA,"Esthetics Particle Microderm","Additional Section","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_KOR-Sect.-7-Particle-Microderm-Eff.-1.1.2020-v.2.26.20.f-1.pdf","Esthetics"
"137",NA,"Esthetics Eyelash Enhancement","Additional Section","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_KOR-Sect.-8-Eyelash-Enhance_Eff.-1.1.2020-v.2.26.20.f_-1.pdf","Esthetics"
"138",NA,"Esthetics Hair Removal of the Upper Lip with Hard Wax","Additional Section","Korean","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_KOR-Sect.-9-Hair-Removal-Upper-Lip_Eff.-1.1.20-v.2.26.20.f-1.pdf","Esthetics"
"139",NA,"Esthetics","Practical","Spanish","https://nictesting.org/wp-content/uploads/formidable/3/NIC_Esthetics_Practical_CIB_SPN-Eff.-1.1.2020-v.8.11.20.f.pdf","Esthetics"
